rollno,name,gender,dob,height,program
1,Jugurtha,Male,2000-08-16,156,BCA
2,Amandeep,Female,2000-02-21,170,BBA
3,Barkat,Female,2001-07-17,158,BCA
4,Suroor,Female,2001-11-16,188,BBA
5,Sultana,Male,2001-04-02,167,BCA
6,Sajjad,Male,2000-10-12,153,BCA
7,Sharan,Male,2000-07-28,174,BBA
8,Djedjiga,Female,2000-06-27,163,BCA
9,Bijata,Female,2002-05-14,158,BBA
10,Mahadi,Female,2000-03-06,175,BCA
11,Sundas,Male,2000-03-02,151,BCA
12,Mandal,Male,2000-07-10,169,BBA
13,Najmul,Female,2001-03-23,177,BCA
14,Deniz,Male,2001-04-21,156,BBA
15,Sharmin,Male,2002-10-31,157,BCA
16,Emran,Male,2000-02-24,184,BBA
17,Sundas,Male,2001-02-11,163,BBA
18,Tanzeel,Female,2002-05-09,166,BCA
19,Student_19,Male,2001-03-27,185,BCA
20,Student_20,Male,2002-07-08,189,BBA
21,Student_21,Female,2001-07-23,153,BCA
22,Student_22,Male,2000-01-14,151,BCA
23,Student_23,Male,2000-11-22,155,BCA
24,Student_24,,2002-05-15,153,BBA
25,Student_25,Female,2001-11-27,178,BBA
26,Student_26,,2001-07-23,167,BBA
27,Student_27,Male,2000-11-14,175,BBA
28,Student_28,Female,2001-03-16,183,BBA
29,Student_29,Female,2001-11-20,159,BBA
30,Student_30,Male,2000-07-28,185,BBA
